0,1,2
"37.370816999999995,-108.557116",2020-03-01,41
"38.479141999999996,-107.934568",2020-03-01,41
"40.256023,-103.78151700000001",2020-03-01,45
"38.024096,-103.657432",2020-03-01,53
"38.139834,-107.746232",2020-03-01,33
"39.311718,-105.623144",2020-03-01,33
"40.599517,-102.387354",2020-03-01,44
"39.232543,-106.907765",2020-03-01,27
"38.083771999999996,-102.547035",2020-03-01,54
"38.263684999999995,-104.645147",2020-03-01,50
"40.051033000000004,-108.280174",2020-03-01,37
"37.616658,-106.238805",2020-03-01,34
"40.453133,-106.89953500000001",2020-03-01,24
"37.915302000000004,-106.019489",2020-03-01,35
"37.804646000000005,-107.67398899999999",2020-03-01,26
"37.974202000000005,-107.96003400000001",2020-03-01,26
"40.960246000000005,-102.32767",2020-03-01,44
"39.573131,-106.054579",2020-03-01,24
"38.94355,-105.14053200000001",2020-03-01,34
"40.092526,-103.156814",2020-03-01,44
"40.328082,-104.788507",2020-03-01,41
"40.069472999999995,-102.486935",2020-03-01,46
"41.207889,-73.364521",2020-03-01,30
"41.761943,-72.717282",2020-03-01,29
"41.727851,-73.187494",2020-03-01,26
"41.478564,-72.57140799999999",2020-03-01,29
"41.396052000000005,-72.941497",2020-03-01,30
"41.443373,-72.09768299999999",2020-03-01,29
"41.842762,-72.37209",2020-03-01,26
"41.804225,-71.995072",2020-03-01,27
"39.12322,-75.558604",2020-03-01,36
"39.68502,-75.634376",2020-03-01,35
"38.662387,-75.346649",2020-03-01,37
"38.910270000000004,-77.01446800000001",2020-03-01,41
"29.665903000000004,-82.386845",2020-03-01,57
"30.288432,-82.185477",2020-03-01,55
"30.206925,-85.660217",2020-03-01,57
"29.953428999999996,-82.128192",2020-03-01,57
"28.232195,-80.690979",2020-03-01,58
"26.134058,-80.227135",2020-03-01,64
"30.463143,-85.122189",2020-03-01,57
"26.954793,-82.119946",2020-03-01,59
"28.863598,-82.453512",2020-03-01,58
"30.084386,-81.79941",2020-03-01,60
"26.199831,-81.699625",2020-03-01,61
"30.126051,-82.660566",2020-03-01,55
"27.189369,-81.864094",2020-03-01,58
"29.634179,-83.056329",2020-03-01,56
"30.300302000000002,-81.622853",2020-03-01,58
"30.485314000000002,-87.274788",2020-03-01,60
"29.523494,-81.224735",2020-03-01,55
"29.786787,-84.822838",2020-03-01,57
"30.59828,-84.581397",2020-03-01,57
"29.704639,-82.808262",2020-03-01,56
"26.896029,-81.185404",2020-03-01,59
"29.988578999999998,-85.259478",2020-03-01,58
"30.501534000000003,-82.997218",2020-03-01,54
"27.548312,-81.815432",2020-03-01,57
"26.705392,-81.20257099999999",2020-03-01,59
"28.50485,-82.496961",2020-03-01,56
"27.460415,-81.442555",2020-03-01,57
"27.976529,-82.401275",2020-03-01,58
"30.847684,-85.758558",2020-03-01,56
"27.671827,-80.44058100000001",2020-03-01,59
"30.800240000000002,-85.21611899999999",2020-03-01,56
"30.504031,-83.886291",2020-03-01,56
"30.065417999999998,-83.179508",2020-03-01,54
"28.735689,-81.752026",2020-03-01,56
"26.574991999999998,-81.858144",2020-03-01,59
"30.466103000000004,-84.270371",2020-03-01,56
"29.379995,-82.666319",2020-03-01,56
"30.399795,-84.905169",2020-03-01,57
"30.47263,-83.430563",2020-03-01,55
"27.477054,-82.532775",2020-03-01,59
"29.140116,-82.123367",2020-03-01,56
"27.1443,-80.244395",2020-03-01,61
"25.774565,-80.298888",2020-03-01,65
"24.739678,-81.26394499999999",2020-03-01,65
"30.607962,-81.647153",2020-03-01,55
"30.542828999999998,-86.567105",2020-03-01,59
"27.272057,-80.822153",2020-03-01,59
"28.532854999999998,-81.384377",2020-03-01,62
"28.266765000000003,-81.383484",2020-03-01,60
"26.617075,-80.146119",2020-03-01,63
"28.261606,-82.51608",2020-03-01,58
"27.899794,-82.727651",2020-03-01,59
"28.03114,-81.799975",2020-03-01,57
"29.609299,-81.720431",2020-03-01,59
"29.977088000000002,-81.421504",2020-03-01,54
"27.338067,-80.353183",2020-03-01,61
"30.549592999999998,-87.03695400000001",2020-03-01,58
"27.208205,-82.423893",2020-03-01,59
"28.697834000000004,-81.310445",2020-03-01,62
"28.825768,-82.03546899999999",2020-03-01,57
"30.214688,-82.987546",2020-03-01,54
"30.064881,-83.59796700000001",2020-03-01,55
"30.010768,-82.35691899999999",2020-03-01,56
"29.073725,-81.123944",2020-03-01,56
"30.185525,-84.331546",2020-03-01,57
"30.583728999999998,-86.190665",2020-03-01,56
"30.650717999999998,-85.625419",2020-03-01,56
"31.77388,-82.338473",2020-03-01,51
"31.317301,-82.886363",2020-03-01,53
"31.547221,-82.466071",2020-03-01,51
"31.307754,-84.437989",2020-03-01,54
"33.084849,-83.245659",2020-03-01,49
"34.351255,-83.506647",2020-03-01,47
"33.993054,-83.7275",2020-03-01,48
"34.208434999999994,-84.829122",2020-03-01,49
"31.727638,-83.248636",2020-03-01,51
"31.238588,-83.252459",2020-03-01,52
"32.832049,-83.687184",2020-03-01,51
"32.401368,-83.33214",2020-03-01,51
"31.216648,-81.96996999999999",2020-03-01,53
"30.842082,-83.54009",2020-03-01,54
"31.979537,-81.37595400000001",2020-03-01,51
"32.417702,-81.76241999999999",2020-03-01,49
"33.101987,-81.998447",2020-03-01,47
"33.296102000000005,-83.97000200000001",2020-03-01,49
"31.527411999999998,-84.66844499999999",2020-03-01,54
"30.814165000000003,-81.635079",2020-03-01,54
"32.399861,-82.06230500000001",2020-03-01,49
"33.622192999999996,-85.044673",2020-03-01,49
"34.927795,-85.17282",2020-03-01,46
"30.780002000000003,-82.023033",2020-03-01,55
"32.036008,-81.126449",2020-03-01,51
"32.344231,-84.899254",2020-03-01,53
"34.495509000000006,-85.344167",2020-03-01,47
"34.169606,-84.496595",2020-03-01,48
"33.950406,-83.380863",2020-03-01,47
"31.633549,-85.013368",2020-03-01,55
"33.553383000000004,-84.362238",2020-03-01,50
"31.017888,-82.740932",2020-03-01,55
"33.943253999999996,-84.557878",2020-03-01,50
"31.516,-82.84066700000001",2020-03-01,51
"31.180954999999997,-83.768671",2020-03-01,53
"33.516220000000004,-82.165654",2020-03-01,48
"31.149846999999998,-83.424499",2020-03-01,53
"33.379117,-84.736399",2020-03-01,50
"32.707681,-83.934002",2020-03-01,51
"31.947962,-83.77779100000001",2020-03-01,52
"34.882709000000006,-85.497004",2020-03-01,48
"34.401379999999996,-84.104119",2020-03-01,46
"30.888345,-84.57036",2020-03-01,56
"33.789813,-84.248029",2020-03-01,51
"32.212815,-83.175591",2020-03-01,51
"32.16758,-83.784195",2020-03-01,52
"31.573426,-84.167625",2020-03-01,53
"33.724923,-84.73464399999999",2020-03-01,49
"31.331726,-84.916722",2020-03-01,54
"30.708629,-83.057989",2020-03-01,53
"32.291745,-81.299511",2020-03-01,51
"34.126521000000004,-82.87952299999999",2020-03-01,46
"32.58586,-82.307952",2020-03-01,49
"32.169649,-81.90736700000001",2020-03-01,50
"34.901383,-84.313402",2020-03-01,43
"33.427941,-84.512414",2020-03-01,50
"34.255796000000004,-85.183164",2020-03-01,49
