0,1,2
"47.4635,-98.2324",2020-12-01,31
"46.817,-102.662",2020-12-01,33
"41.0245,-84.1299",2020-12-01,31
"40.3367,-84.2041",2020-12-01,29
"40.2959,-83.367",2020-12-01,30
"35.8975,-94.6517",2020-12-01,40
"35.1679,-98.381",2020-12-01,43
"33.9578,-97.2451",2020-12-01,44
"35.5546,-97.4094",2020-12-01,43
"42.4667,-124.2114",2020-12-01,47
"42.7884,-120.3898",2020-12-01,30
"45.5893,-98.3522",2020-12-01,30
"44.2843,-101.5918",2020-12-01,38
"43.952,-100.6861",2020-12-01,35
"44.931000000000004,-98.3396",2020-12-01,31
"35.6034,-88.1074",2020-12-01,36
"36.0404,-87.7906",2020-12-01,34
"35.6783,-85.7774",2020-12-01,30
"32.2932,-99.3722",2020-12-01,48
"35.4055,-101.3554",2020-12-01,43
"36.2864,-102.594",2020-12-01,43
"33.3859,-95.6734",2020-12-01,43
"31.706999999999997,-98.1118",2020-12-01,45
"31.4949,-98.5946",2020-12-01,45
"31.1551,-98.8193",2020-12-01,47
"31.8358,-101.0549",2020-12-01,49
"30.7696,-94.3794",2020-12-01,44
"35.3926,-100.2531",2020-12-01,46
"44.6035,-72.6384",2020-12-01,50
"37.3361,-77.9732",2020-12-01,41
"37.3784,-77.5858",2020-12-01,43
"37.7242,-77.9143",2020-12-01,43
"36.6673,-80.2861",2020-12-01,38
"38.1823,-77.6563",2020-12-01,42
"43.0177,-87.4816",2020-12-01,30
"44.7896,-88.7558",2020-12-01,29
"44.478,-88.96700000000001",2020-12-01,29
"44.1128,-89.2398",2020-12-01,29
"32.9189,-111.3673",2020-12-01,56
"34.2777,-91.9307",2020-12-01,43
"34.7798,-90.7793",2020-12-01,40
"33.5912,-92.8784",2020-12-01,43
"33.0236,-116.7761",2020-12-01,63
"39.8743,-104.3319",2020-12-01,33
"37.9582,-102.3922",2020-12-01,41
"38.872,-105.1826",2020-12-01,25
"27.4928,-81.8216",2020-12-01,53
"29.9901,-83.1785",2020-12-01,42
"31.1529,-83.4296",2020-12-01,41
"32.1721,-82.5333",2020-12-01,39
"34.5529,-83.2902",2020-12-01,34
"41.1395,-87.8611",2020-12-01,29
"41.6425,-85.4263",2020-12-01,33
"39.4826,-86.4475",2020-12-01,30
